Date,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-11-06,296.0833333333333,534.0566666666667,20.013333333333332,85.33333333333333,31.850000000000005,32.553333333333335,6.273333333333333,1.9333333333333336,5.883333333333333,2.7733333333333334,6.1000000000000005,,,1.6333333333333335,4.19,,61.67333333333334,0.4333333333333333,233.66666666666666,,,81.32000000000001,,0.22
2021-11-07,202.28666666666666,356.5833333333333,37.669999999999995,91.65333333333335,44.04333333333333,33.696666666666665,7.126666666666668,1.0766666666666669,10.093333333333334,2.64,6.466666666666666,,,2.2899999999999996,5.073333333333333,,59.67666666666667,0.3166666666666667,233.24666666666667,,,93.61333333333334,,0.20500000000000002
2021-11-08,209.75666666666666,333.0933333333333,31.146666666666665,97.40333333333332,41.61333333333333,43.086666666666666,10.186666666666666,1.5833333333333333,8.676666666666668,2.5966666666666667,5.343333333333334,,,1.5233333333333334,3.8066666666666666,,61.839999999999996,0.2833333333333333,223.63666666666666,,,90.86,,0.055
2021-11-09,213.79666666666665,344.2633333333333,35.56333333333333,95.28666666666668,43.699999999999996,76.46666666666665,9.256666666666666,1.2633333333333334,6.073333333333333,2.2399999999999998,5.703333333333333,,,1.5733333333333333,3.83,,59.70666666666667,0.3,245.98333333333335,,,89.11666666666667,,0.08499999999999999
2021-11-10,202.59333333333333,347.46999999999997,61.63666666666666,88.78333333333335,57.59,85.06666666666666,9.873333333333333,1.5633333333333335,9.403333333333334,2.56,5.833333333333333,,,1.7633333333333334,4.97,,68.29333333333334,0.24000000000000002,204.43999999999997,,,89.30000000000001,,0.14500000000000002
2021-11-11,253.86666666666667,432.59,79.68333333333334,87.24000000000001,67.97333333333334,89.28666666666668,8.023333333333333,2.3699999999999997,6.849999999999999,2.9599999999999995,9.723333333333334,,,2.956666666666667,6.633333333333333,,74.75666666666667,0.16666666666666666,185.01,,,58.48333333333334,,0.14
2021-11-12,320.16,528.0733333333334,89.28000000000002,62.67333333333334,82.98333333333333,78.78666666666666,10.030000000000001,1.3266666666666667,5.746666666666666,2.9433333333333334,7.836666666666667,,,1.68,5.830000000000001,,79.37666666666667,0.20666666666666667,206.14333333333335,,,71.03,,0.195
2021-11-13,278.2733333333333,503.84666666666664,54.52666666666667,52.98,71.77666666666666,58.96333333333333,7.456666666666667,2.52,15.776666666666666,2.4366666666666665,7.683333333333334,,,2.4466666666666668,5.046666666666667,,63.23333333333333,0.29333333333333333,212.32666666666668,,,92.02666666666669,,0.185
2021-11-14,158.21333333333334,303.8633333333333,65.40333333333332,48.376666666666665,77.32000000000001,52.596666666666664,9.243333333333334,1.4266666666666667,19.8,1.9833333333333334,6.09,,,1.8066666666666666,4.319999999999999,,60.10666666666666,0.24666666666666667,193.37666666666667,,,92.46000000000002,,0.20500000000000002
2021-11-15,201.48666666666668,347.6466666666667,45.01,56.18666666666667,65.89,74.69666666666666,9.37,1.5033333333333332,8.51,2.2266666666666666,7.656666666666666,,,1.9333333333333333,4.276666666666667,,61.21333333333333,0.19333333333333333,207.88333333333333,,,82.89333333333333,,0.21000000000000002
2021-11-16,216.84666666666666,371.30999999999995,35.17666666666667,51.23666666666666,55.383333333333326,64.96666666666667,11.089999999999998,1.8499999999999999,18.8,2.0733333333333333,5.036666666666666,,,1.68,3.296666666666667,,63.81666666666666,0.25,212.6266666666667,,,91.39999999999999,,0.2
